Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
2,14,1440,6,2.7,24,1,0,6,1.32,144029.06
1,15.6,1080,5,2.5,4,1,0,2,2,33800.27
1,17.3,900,9,2.5,8,0,1,6,2.8,31381.65
1,15.6,1080,5,1.6,4,1,1,6,2.2,45288.73
2,12.5,1080,5,2.5,8,1,0,6,1.36,86405.34
1,15.6,1080,2,1.1,4,1,0,6,2.2,21102.49
3,15.6,1080,6,2.8,8,3,1,6,2.2,66451.69
1,14,1080,5,2.8,8,1,1,6,1.64,71288.94
1,15.6,768,5,2.5,4,0,0,2,2.4,26713.7
6,15.6,1080,3,6.3,8,5,1,6,2.23,120507.94
3,15.6,1080,5,2.5,8,1,1,6,2.2,62142.92
2,13.5,1504,6,2.5,16,1,0,7,1.25,156545.44
1,15.6,768,5,2.5,8,1,0,6,1.91,35614.24
6,15.6,1080,6,2.7,16,1,1,6,2.17,119419.56
6,15.6,1080,6,2.9,8,1,0,6,2.31,92754.23
1,14,1080,5,2.5,8,1,0,6,1.65,81326.23
1,15.6,1080,6,1.8,8,3,1,6,2.36,59195.82
4,11.6,768,2,1.6,4,0,0,6,1.47,28963.02
1,17.3,1080,6,2.7,8,0,1,6,4.42,123712.62
2,13.5,1504,7,2.2,4,1,0,7,1.252,59800.48
2,13.5,1504,6,2.5,8,1,0,7,1.25,108777.61
1,17.3,900,4,2,8,1,0,6,2.5,38691.94
1,15.6,1080,4,2,4,0,1,6,2.23,32893.29
5,11.6,768,1,1.6,4,1,0,6,1.4,26302.54
1,15.6,1080,5,2.5,8,0,0,6,2.37,45288.73
1,14,1080,6,2.7,8,1,1,8,1.5,48312.01
1,15.6,1080,6,2.9,8,1,1,6,2.67,126373.1
1,15.6,768,2,1.1,4,0,0,6,2,18381.54
1,15.6,768,4,2,4,0,1,6,2.2,28358.37
1,15.6,1080,5,1.6,8,0,1,6,2.02,45893.39
3,17.3,1080,6,2.8,12,0,1,6,3.78,102731.05
2,14,1440,6,2.6,12,1,0,6,1.4,112345.08
4,13.3,2160,6,1.8,8,1,0,6,1.29,120870.73
1,15.6,1080,5,2.5,8,0,1,6,1.9,69777.3
2,12.3,1600,5,1.2,8,1,0,3,1.1,77093.64
2,13.3,1080,5,1.6,8,1,0,6,1.42,111368.57
1,15.6,2160,6,2.6,12,3,0,6,2.06,78544.81
1,14,768,4,2.3,8,1,0,6,1.79,44744.54
6,15.6,1080,6,2.8,8,1,1,6,1.78,145601.16
1,14,1080,5,2.5,8,1,0,6,1.7,82475.08
1,15.6,1080,5,1.6,8,0,1,6,2.2,40814.28
1,13.3,1080,5,2.5,8,1,0,6,1.05,101098.48
1,15.6,1080,6,1.8,8,1,1,6,2.16,76307.59
1,15.6,768,4,2.4,4,0,0,6,2.18,35469.12
1,13.3,1080,5,1.6,4,1,0,6,1.49,43898.03
1,15.6,1080,0,1.44,4,5,0,6,1.89,15049.89
1,15.6,768,4,2,4,1,0,6,2.3,34163.06
1,14,1080,5,1.6,8,1,0,6,1.75,63428.41
6,15.6,1080,6,2.7,16,1,1,6,2.17,141368.57
1,15.6,1080,6,2.8,16,1,1,6,2.06,114824.17
2,12.5,1080,6,2.7,16,1,0,6,1.36,108717.15
2,12.5,1080,6,2.7,16,1,0,6,0.91,117907.92
1,15.6,1080,5,2.5,8,1,1,6,2.3,61190.58
2,13.3,1080,6,2.7,32,1,0,6,1.05,169243.21
3,15.6,1080,6,2.8,8,3,1,6,1.99,81628.56
1,15.6,768,12,2.5,8,0,1,6,2.2,35009.58
3,17.3,1080,6,2.6,24,3,1,6,4.33,76730.85
2,12.5,768,5,2.3,8,1,0,6,1.3,66451.69
1,15.6,1080,6,1.8,8,1,0,6,2.17,54352.53
1,14,1080,6,2.8,8,1,0,6,1.48,105754.33
1,13.3,1080,4,2.4,8,1,0,6,1.4,57381.85
1,15.6,1080,5,2.5,8,1,0,6,2.3,55084.16
5,11.6,768,1,1.1,4,5,0,7,1.2,20558.3
1,15.6,768,5,2.5,8,1,1,6,1.91,37427.6
4,13.9,1080,5,1.6,8,1,0,6,1.4,96684.49
1,14,768,1,1.1,4,0,0,6,2.1,18079.21
5,11.6,768,1,1.6,4,1,0,3,1.25,16023.38
1,13.3,1080,5,2.5,8,1,0,6,1.44,57381.85
1,15.6,1080,6,2.7,8,3,0,6,2,74009.89
1,15.6,1080,5,1.6,4,0,1,6,2.2,37065.41
2,13.3,1080,6,2.7,8,1,0,6,1.34,79995.99
3,15.6,1080,6,2.8,8,3,1,8,2.4,69474.97
2,13.3,1080,5,2.5,8,1,0,6,1.29,54358.57
1,15.6,1080,6,2.7,4,0,1,6,2.2,38637.52
1,15.6,1080,5,2.5,8,0,0,6,2.18,50549.24
1,15.6,1080,6,1.8,16,3,1,6,2.2,73722.08
1,15.6,1080,6,1.8,16,1,1,8,1.95,84648.82
5,11.6,768,1,1.1,2,5,0,6,1.1,14814.07
1,15.6,768,5,1.6,4,0,0,6,2.04,31531
3,15.6,1080,6,2.8,24,1,1,6,2.24,179461.9
1,15.6,1080,5,2.5,8,1,1,6,2.04,53753.92
3,17.3,1080,6,2.8,16,3,1,6,3,90940.26
3,15.6,1080,6,2.8,8,3,1,6,3.2,84591.37
2,13.3,1080,6,2.7,8,1,0,6,1.32,84591.37
1,14,1080,5,2.6,8,1,0,6,1.64,77379.64
1,15.6,768,4,2,4,1,0,6,1.63,41660.8
1,17.3,1080,5,1.6,8,3,1,2,2.8,53753.92
1,14,1080,5,2.3,8,1,0,5,2.02,81023.9
1,15.6,1080,6,2.7,4,0,1,6,2.2,48312.01
1,15.6,768,4,2,8,0,1,8,2.2,27753.71
1,15.6,1080,5,2.5,4,0,1,6,2.3,35372.38
1,15.6,1080,5,2.8,8,1,0,6,1.9,83261.13
3,17.3,1080,6,2.8,16,3,1,6,4.42,182168.95
1,15.6,1080,5,2.5,8,0,0,6,2,52000.42
1,15.6,2160,6,2.7,8,3,1,6,2,78544.81
1,13.3,1080,1,1.1,4,1,0,6,1.2,22311.81
3,15.6,1080,5,2.5,8,3,1,6,2.3,99707.77
1,15.6,1080,6,2.8,8,1,1,6,1.93,82777.41
1,15.6,1080,5,1.6,8,1,1,6,2.2,48215.87
1,15.6,1080,2,1.6,4,1,0,6,1.86,24125.17
3,17.3,1080,6,2.8,12,0,1,6,2.62,108777.61
1,14,1080,6,2.7,8,1,1,6,1.87,51939.95
2,13.3,1800,6,1.8,8,1,0,6,1.2,84591.37
1,14,1080,4,2,4,1,0,6,1.6,44494.82
2,13.3,1800,6,2.7,8,1,0,6,1.34,69233.11
3,15.6,1080,5,2.5,8,0,1,2,2.4,48251.55
1,15.6,768,14,1.8,4,0,1,6,2,21102.49
1,15.6,1080,4,2.4,4,1,0,6,2.1,42658.48
1,14,1080,5,2.5,4,0,0,6,1.87,47465.5
1,15.6,1080,5,2.3,4,0,0,8,2.15,27956.27
1,15.6,1080,4,2,4,0,0,6,1.86,24004.84
1,15.6,1080,6,2.7,8,1,0,6,1.99,104545.02
1,15.6,1080,4,2,4,1,0,6,2.2,30172.33
1,15.6,1080,5,2.5,8,1,0,6,1.9,67539.47
3,17.3,1080,6,2.8,16,3,1,6,4.42,163196.65
1,17.3,900,4,2,8,0,0,6,2.65,32902.36
1,17.3,1080,6,2.7,8,0,1,6,2.63,77395.97
1,15.6,768,1,1.1,4,0,0,2,2,13544.29
1,13.3,1080,0,1.44,4,5,0,6,1.35,15418.73
1,17.3,900,6,2.7,6,3,1,6,2.8,57381.85
1,15.6,1080,12,2.5,6,1,1,6,1.91,34398.88
1,15.6,768,4,2,4,0,1,6,2.18,37361.69
4,11.6,1080,1,2,4,5,0,6,1.25,21102.49
1,15.6,1080,4,2.7,4,1,0,6,2.05,38093.33
2,13.3,1800,7,1.2,16,1,0,6,1.16,118814.9
1,17.3,1080,6,2.8,8,1,1,6,3.4,181336.33
1,15.6,1080,5,2.5,8,3,1,6,2.5,50730.64
2,13.3,2160,5,1.6,8,1,0,6,1.21,96684.49
1,15.6,768,5,2.6,4,0,0,6,1.93,57986.51
1,15.6,768,5,2.5,8,0,0,6,2.2,44684.08
1,15.6,1080,2,1.1,4,0,0,6,2.2,20800.17
1,14,768,5,2.5,4,0,0,6,2.02,59860.94
6,17.3,900,5,2.8,8,0,1,6,3.14,112525.88
1,14,768,2,1.6,8,0,0,6,1.94,23521.12
1,15.6,1080,11,3,6,1,1,6,1.95,39242.17
1,15.6,1080,5,2.5,8,1,0,6,2.3,50186.45
1,15.6,1080,5,1.6,4,0,0,6,2.05,41418.94
1,14,1080,0,1.44,4,1,0,6,1.4,15055.93
2,14,1080,6,2.7,16,1,0,6,1.24,112768.34
3,17.3,1080,6,2.7,32,3,1,6,4.6,161019.89
3,17.3,1080,6,2.9,16,3,1,6,4.14,165010.62
1,15.6,1080,6,2.7,8,1,1,2,2.2,45289.34
1,14,1080,1,1.1,4,1,0,6,1.45,23521.12
1,15.6,768,5,2.6,8,0,0,6,1.9,60980.77
1,13.3,1080,4,2.4,4,1,0,6,1.49,43474.77
1,15.6,1080,6,2.8,16,1,1,6,1.93,92959.21
5,11.6,768,1,1.6,4,5,0,3,1.26,17837.35
3,17.3,1080,6,2.7,16,3,1,6,4.5,142033.69
3,17.3,1080,6,2.8,16,3,1,6,3.78,90577.47
2,14,1080,6,2.6,12,1,0,6,1.4,101158.95
1,15.6,768,6,1.8,12,0,0,6,2.2,36823.55
3,17.3,1080,5,2.5,8,3,1,6,2.73,107024.11
4,15.6,768,5,2.5,8,0,0,6,2.2,44684.08
1,15.6,1080,13,3.6,12,1,1,6,2.2,57381.85
4,11.6,768,7,1,4,1,0,6,1.39,36460.76
1,15.6,1080,6,2.8,16,3,1,6,2.5,102731.05
1,17.3,1080,4,2,4,0,0,8,2.8,31986.3
1,15.6,768,4,2.3,8,0,0,6,2.29,27753.71
4,13.3,1080,6,2.7,8,1,0,6,1.37,122442.84
1,14,1080,5,2.5,8,1,0,6,1.7,89126.29
4,12.5,1080,5,2.5,8,1,0,6,1.34,100977.55
6,15.6,1080,6,2.8,8,1,1,6,2.06,106600.85
1,15.6,1080,6,2.7,8,1,0,6,1.84,73707.57
1,15.6,768,4,2.4,4,0,0,6,2.1,40420.04
1,14,1080,1,1.1,4,5,0,6,1.6,19893.18
3,17.3,1080,6,2.7,16,3,1,6,4.14,132963.85
1,15.6,768,4,2,4,0,1,2,2.18,28116.5
3,15.6,2160,6,2.8,16,3,1,6,1.8,139010.41
1,15.6,1080,6,2.5,8,1,0,6,2.2,84591.37
1,15.6,1080,5,2.5,6,0,0,6,2.4,34102.6
4,15.6,1080,6,2.8,8,1,0,6,2,78544.81
1,14,768,2,1.6,4,5,0,6,1.6,21102.49
1,15.6,2160,3,3.1,32,1,1,6,2.5,296220.97
3,15.6,1080,6,2.6,16,0,1,6,2.59,53149.87
1,15.6,768,4,2,4,0,0,2,2.18,26840.68
1,15.6,768,4,2,4,0,0,2,2.25,21707.15
1,15.6,768,5,2.6,4,0,0,2,1.93,52544.61
3,17.3,1080,6,2.8,8,3,1,6,3,70623.82
1,15.6,1080,5,2.5,4,1,1,2,2.18,34404.93
2,15.6,1080,6,2.7,8,1,0,6,1.84,83986.72
3,15.6,1080,6,2.8,16,3,1,6,2.94,137127.52
4,11.6,768,1,1.6,4,5,0,3,1.25,22916.46
1,14,768,5,2.6,8,1,0,6,2.31,67963.33
1,14,1080,5,2.3,8,1,0,5,1.65,88582.1
1,15.6,1080,5,1.6,4,0,1,6,2.2,46921.31
1,15.6,768,5,2.5,8,1,0,6,2.2,48312.01
1,15.6,768,5,2.3,4,0,0,5,1.88,56353.94
1,15.6,1080,6,2.7,8,0,1,6,2.2,54358.57
1,14,1080,0,1.44,2,5,0,6,1.4,14451.28
1,15.6,1080,5,2.5,4,1,0,8,2.2,28297.9
4,13.3,1080,5,2.5,6,0,0,6,1.5,38638.12
1,15.6,1080,6,2.8,8,1,1,6,2,110047.39
2,14,1080,6,2.7,16,1,0,6,1.1,114884.64
3,15.6,1080,6,2.8,16,3,1,6,2.62,89428.62
1,15.6,1080,5,1.6,4,1,0,6,1.8,50125.98
1,15.6,1080,4,2,4,0,1,6,2.2,35009.58
1,15.6,768,1,1.1,8,0,0,6,2,24125.77
1,15.6,1080,5,2.5,8,0,1,6,1.99,54819.32
2,13.3,1800,5,1.6,8,1,0,6,1.23,113010.21
1,14,768,1,1.6,2,5,0,6,1.42,15055.93
4,13.3,1080,6,2.7,8,1,0,6,1.37,106263.45
1,15.6,2160,6,2.8,16,1,1,6,2.06,145056.97
3,15.6,1080,6,2.8,8,3,1,6,2.5,67056.35
1,17,900,11,3,8,0,1,6,2.6,31496.53
2,14,1080,6,2.7,16,1,0,6,1.14,148140.72
3,15.6,1080,6,2.8,8,0,1,8,2.5,70684.29
1,15.6,768,4,2,4,0,0,6,2.4,27209.52
1,14,768,1,1.6,4,5,0,6,1.43,16567.57
2,14,1080,5,2.5,8,1,0,6,1.8,55567.89
3,14,1080,6,2.8,16,1,1,6,1.95,157150.09
1,13.3,1080,5,2.3,8,1,0,6,1.2,73344.77
2,12.5,1080,6,2.7,8,1,0,6,1.36,95777.51
3,17.3,1080,6,2.7,32,1,1,6,3.8,169243.21
3,15.6,1080,5,2.5,8,0,1,2,2.4,42870.11
2,13.3,1080,5,1.6,8,1,0,6,1.2,87669.07
3,15.6,1080,6,2.8,8,3,1,6,2.2,72062.9
1,15.6,768,4,2,4,0,0,8,1.86,22063.9
1,15.6,1080,5,2.5,8,0,0,6,2,64335.4
1,15.6,1080,6,1.8,8,1,1,6,2.2,55567.89
1,15.6,1080,6,1.8,16,3,1,6,2.2,68628.46
3,15.6,1080,6,2.6,8,3,1,6,3.31,72316.86
3,17.3,2160,6,2.8,32,3,1,6,4.42,190307.62
1,14,1080,5,2.4,8,1,0,6,1.56,74312.22
1,15.6,768,1,1.1,4,0,0,6,2.2,25335.09
1,15.6,1080,5,2.3,4,0,0,6,2.2,32349.1
1,15.6,1080,4,2,6,0,1,6,2.04,32590.96
3,17.3,1080,6,2.8,8,3,1,6,2.7,89898.44
1,15.6,768,4,2.1,4,1,0,6,2.1,30111.87
1,15.6,1080,5,2.5,8,0,0,6,2.06,57744.65
1,15.6,1080,6,2.7,8,0,1,6,2.1,45046.87
1,15.6,1080,5,2.5,8,1,0,6,2,76065.72
1,15.6,768,4,2,4,1,0,2,2.1,24911.83
2,13.5,1504,6,2.8,8,1,0,7,1.252,112940.67
1,15.6,1080,5,2.5,8,3,1,6,1.9,49457.84
4,13.3,1080,5,2.5,8,1,0,6,1.3,62521.43
1,15.6,768,14,2.2,4,1,1,6,2.2,21102.49
4,14,1080,4,2.4,4,1,1,6,1.63,42265.45
3,15.6,1080,6,2.8,16,3,1,6,2.4,78242.49
2,14,1080,5,2.5,8,1,0,6,1.1,68628.46
4,11.6,768,1,1.1,8,5,0,3,1.4,29930.47
2,15.6,1080,6,1.8,8,1,0,6,1.09,139010.41
3,15.6,1080,5,2.5,16,1,1,6,2.5,78544.81
3,15.6,1080,5,2.5,8,1,1,6,2.2,60338.62
1,15.6,768,1,1.1,4,1,0,6,1.86,25335.09
3,15.6,1080,5,2.5,16,3,1,6,3.21,124014.95
1,17.3,1080,4,2,4,1,1,6,2.5,42265.45
4,13.3,1080,6,1.8,8,1,0,6,1.19,90637.93
3,15.6,1080,6,2.9,16,3,1,6,3.49,170135.08
1,15.6,768,5,2.5,4,0,1,6,1.86,37041.83
1,15.6,768,4,2,4,0,1,6,2.2,32994.26
1,17.3,1080,12,2.4,6,0,1,6,2.65,34404.93
1,15.6,768,1,1.6,4,0,0,6,2.1,19228.06
1,14,768,1,1.6,4,5,0,3,1.45,22674.6
1,14,1080,5,2.5,4,1,0,6,1.7,42265.45
6,17.3,1080,6,2.8,8,0,1,6,3.14,115367.76
4,14,1440,6,2.7,8,1,0,6,1.42,156605.9
1,13.3,1080,5,2.5,8,1,0,6,1.5,58833.03
5,11.6,768,1,1.6,4,5,0,6,1.4,16265.25
4,14,1080,6,2.7,16,1,0,6,1.38,105754.33
4,12.5,1080,7,0.9,4,5,0,3,1.2,40451.49
2,13.3,1080,6,2.5,16,1,0,6,1.36,113493.93
1,15.6,1080,6,2.7,4,0,1,6,2.1,41660.8
3,15.6,1080,5,2.5,8,0,1,6,2.56,49521.33
1,15.6,1080,11,2.9,4,1,1,6,2.2,24125.77
1,15.6,768,13,3.6,8,0,1,6,2.2,25939.74
1,15.6,1080,5,2.5,4,3,0,6,2.1,37576.35
1,15.6,768,4,2,4,0,0,8,1.9,27209.52
1,15.6,1080,5,2.5,8,1,0,6,2.18,48070.15
4,13.3,1080,5,1.6,8,1,0,6,1.6,60405.13
6,15.6,1080,6,2.5,16,1,1,5,2.18,112163.69
1,14,1080,5,2.3,8,1,0,6,1.8,72014.53
1,17.3,1080,12,2.5,6,0,1,6,2.71,39605.57
3,15.6,1080,6,2.8,8,3,1,6,2.5,75521.53
1,14,1080,5,2.8,8,1,1,2,1.64,65847.04
1,15.6,1080,5,2.5,8,0,0,2,1.98,43898.03
1,14,1080,1,1.1,4,5,0,6,1.5,18018.75
1,15.6,1080,5,2.6,16,1,0,6,1.93,86263.85
1,14,1080,5,2.5,8,1,1,6,1.87,51823.25
1,15.6,1080,5,2.6,8,1,0,6,1.9,71288.94
1,15.6,768,9,2,4,0,1,6,2.19,18018.75
1,14,1200,0,1.92,4,0,0,6,1.4,16023.38
1,17.3,1080,6,2.7,8,1,1,6,2.63,72558.72
2,14,1440,6,2.5,8,1,0,6,1.17,101983.7
4,13.3,768,5,2.5,8,1,0,6,1.58,50585.52
2,14,1080,5,2.5,8,1,0,6,1.32,90637.93
3,17.3,2160,6,2.8,32,3,1,6,4.36,221267.82
3,17.3,1080,6,2.8,8,3,1,6,2.7,81536.65
1,15.6,768,5,2.5,4,0,0,8,1.9,29622.1
1,15.6,1080,5,1.6,8,3,1,6,2.2,43474.77
4,13.3,1080,4,2.4,4,0,0,6,1.71,39242.17
1,15.6,768,5,2.5,8,0,1,2,2.32,35645.68
1,15.6,1080,11,3,4,0,1,6,2.1,29567.68
3,17.3,1080,6,2.6,16,3,1,6,4.2,117000.94
1,15.6,768,5,2.5,12,0,0,6,2.25,39242.17
1,15.6,1080,11,3,6,3,1,6,2.1,39302.64
1,15.6,768,5,2.5,4,0,0,6,2.4,33800.27
1,13.3,1080,5,2.5,8,1,0,6,1.44,58046.98
1,15.6,1080,6,2.7,4,0,0,6,1.85,47102.7
6,15.6,1080,6,2.8,16,1,1,6,2.6,146266.29
4,13.3,1080,5,1.6,8,0,0,6,1.55,39846.83
3,15.6,1080,6,2.8,16,3,1,6,1.8,126643.99
1,15.6,768,4,2,4,0,0,6,2.4,24839.27
1,15.6,1080,6,2.7,8,3,1,6,2,72981.98
1,15.6,768,4,2,8,1,0,6,2,40209.62
1,14,1080,5,2.5,8,1,0,6,1.25,92814.7
4,14,1080,5,2.5,8,1,0,6,1.7,60405.13
6,15.6,2160,6,2.8,16,1,1,6,2.5,199476.01
1,14,768,1,1.6,2,5,0,3,1.68,19953.65
2,13.3,1080,6,2.7,16,1,0,6,0.81,99707.77
1,15.6,1080,4,2,8,1,0,6,1.86,32590.96
1,14,768,5,2.5,8,1,0,6,1.6,68127.2
6,17.3,1080,3,2.9,16,1,1,5,3,265383.52
5,11.6,768,1,1.6,4,1,0,6,1.4,28721.16
1,15.6,1080,5,2.4,8,1,0,6,1.84,114884.64
1,15.6,768,5,2.3,4,0,1,8,2.45,35009.58
2,14,1080,5,2.3,4,1,0,6,1.7,66270.3
1,15.6,768,6,2.7,4,1,0,6,2.37,51389.71
4,13.3,1800,5,1.8,8,1,0,6,1.3,72498.25
1,15.6,1080,5,2.5,8,3,1,6,2.2,66451.69
6,15.6,1080,6,2.6,8,1,1,5,2.59,94386.8
3,15.6,2160,6,2.8,16,3,1,6,4.42,173475.2
1,15.6,768,5,2.5,4,1,0,6,2.1,36218.89
3,15.6,1080,6,2.8,8,3,1,6,2.5,63367.95
2,12.5,1080,6,2.8,16,1,0,6,1.18,112405.55
2,12.3,1600,5,1.2,8,1,0,3,1.1,94265.87
2,13.3,1800,5,2.5,8,1,0,6,1.2,68265.66
1,13.3,768,4,2,4,0,0,6,1.65,51335.29
1,13.3,768,5,2.3,4,1,0,6,1.6,39604.97
1,17.3,768,2,1.1,4,0,1,6,2.8,28439.39
3,15.6,2160,6,2.6,16,3,1,6,2.72,66451.69
2,13.3,1080,6,2.7,8,1,0,6,1.31,96684.49
1,15.6,768,2,1.1,4,0,0,2,2.1,18018.75
1,15.6,1080,6,2.7,16,1,1,6,2.3,71426.2
4,15,1080,6,2.7,16,1,1,6,1.71,108777.61
1,14,768,5,2.3,4,1,0,6,1.75,61674.91
3,15.6,1080,6,2.8,8,0,1,6,2.62,66451.69
2,12.5,768,5,2.3,4,1,0,6,1.26,75219.21
4,15.6,1080,6,2.7,12,0,1,6,2.3,50730.64
1,15.6,2160,6,2.7,16,1,1,5,2.5,143303.47
1,14,1080,4,2.4,4,1,0,6,1.8,38456.12
3,14,1080,6,2.8,16,1,1,6,1.95,175289.77
1,15.6,1080,2,1.1,8,1,0,6,2,35184.93
3,17.3,1080,6,2.8,32,3,1,6,4.42,216998.95
3,17.3,1080,6,2.6,16,3,1,6,4.3,142094.16
2,14,1080,6,2.6,16,1,1,6,1.47,106661.32
1,15.6,768,1,1.6,8,0,0,8,2.2,19893.18
2,14,1080,6,2.7,16,1,0,6,1.7,139010.41
3,14,1080,6,2.8,16,3,1,6,1.6,114340.45
3,15.6,1080,5,2.5,8,3,1,6,2.2,65847.04
3,15.6,1080,6,2.8,4,0,1,6,2.4,60405.13
3,17.3,1080,6,2.8,16,3,1,6,4.2,139010.41
3,15.6,1080,5,2.5,8,1,1,6,2.62,59558.62
3,15.6,1080,6,2.8,8,3,1,6,2.24,80963.44
1,14,1080,1,1.1,4,5,0,6,1.22,12268.47
4,13.3,1080,6,2.7,8,1,0,6,1.37,119117.23
4,15.6,1080,5,2.5,8,1,1,6,2.08,57986.51
2,12,1440,7,1.2,8,5,0,1,0.92,70442.42
4,14,1440,5,2.5,8,1,0,6,1.42,140884.85
1,14,768,1,1.1,4,5,0,6,1.63,18079.21
1,15.6,768,5,2.5,8,1,0,6,1.95,48977.14
4,13.9,1080,6,2.7,8,1,0,6,1.38,81568.09
1,15.6,1080,4,2,8,1,1,6,2,44684.08
6,15.6,1080,6,2.8,8,1,1,6,3.14,124855.42
1,15.6,1080,5,2.5,8,1,0,6,2.37,66451.69
2,13.3,1080,5,2.5,8,1,0,6,1.29,90637.93
1,15.6,2160,5,2.5,8,1,1,6,2.06,105754.33
5,11.6,768,2,1.1,4,1,0,6,1.63,44986.41
5,12.5,768,5,2.6,8,1,0,6,1.26,83986.72
1,15.6,768,5,2.3,4,0,0,6,2.1,47163.17
1,15.6,768,13,2.5,8,0,1,6,2.04,38032.86
3,15.6,2160,6,2.8,16,1,1,6,2.62,101521.74
1,15.6,1080,5,2.5,4,0,1,6,2.4,36823.55
3,17.3,1080,6,2.8,12,0,1,6,3.74,105754.33
3,17.3,1080,6,2.8,16,3,1,6,2.9,146024.42
2,13.3,1080,5,2.5,8,1,0,6,0.81,90637.93
1,15.6,1080,6,2.7,8,0,1,6,1.98,58107.44
1,15.6,1080,5,2.5,8,1,1,6,2.18,47756.34
2,14,1080,6,2.7,8,1,0,6,1.32,112405.55
2,12.5,2160,6,2.5,16,1,0,6,1.29,108777.61
5,11.6,768,1,1.6,4,5,0,3,1.23,23279.26
3,17.3,1080,6,2.8,16,3,1,6,4.36,151467.54
1,14,768,5,2.3,4,0,0,6,1.76,45651.53
1,15.6,768,4,2,4,0,0,6,2.1,29622.1
2,14,768,5,2.5,4,1,0,6,1.25,65907.5
2,14,1080,6,2.7,8,1,0,6,1.13,151103.53
3,15.6,1080,5,2.5,8,1,1,6,2.4,72498.25
2,14,1080,5,2.5,8,5,0,6,1.13,113373
1,14,768,2,2.1,4,1,0,6,1.75,30172.33
4,13.3,1080,5,2.5,8,1,0,6,1.1,82112.28
1,14,768,4,2,4,0,0,6,1.76,35372.38
5,11.6,768,1,1.6,4,5,0,3,1.35,21465.29
1,14,1080,4,2.4,8,1,0,6,1.5,37428.21
3,17.3,2160,6,2.9,32,1,1,6,3.49,332500.33
2,14,1440,6,2.6,16,1,0,6,1.1,126917.29
1,15.6,1080,5,2.5,4,0,1,2,2.1,31381.65
1,14,1080,5,2.3,8,1,0,6,1.7,71712.2
1,14,1080,5,2.6,8,1,0,6,1.32,99768.24
3,15.6,1080,6,2.8,16,3,1,6,3.21,167769.67
3,17.3,1080,6,2.8,16,3,1,6,2.9,146266.29
1,15.6,768,4,2.4,4,0,0,6,2,40451.49
1,14,768,1,1.6,4,5,0,3,1.5,19651.32
1,15.6,1080,5,2.5,8,0,0,6,2.3,35674.7
3,17.3,1080,6,2.6,16,3,1,6,2.73,108777.61
3,17.3,1080,6,2.8,32,3,1,6,4.42,185804.14
1,17.3,900,5,2.5,8,0,1,6,2.63,55023.7
1,15.6,768,5,2.5,8,1,0,6,2.18,43171.83
2,14,1080,6,2.5,8,1,0,5,1.54,113070.67
1,15.6,1080,6,2.7,4,1,1,6,2.18,44684.08
4,11.6,768,1,1.1,4,5,0,3,1.4,37186.34
2,13.3,1080,5,2.3,8,1,1,6,1.45,62037.71
4,13.3,1080,5,2.5,8,1,0,6,1.28,137680.17
2,14,1080,6,2.5,8,1,0,6,1.54,88763.5
1,15.6,768,1,1.6,4,1,0,8,1.86,18079.21
3,15.6,1080,6,2.8,16,3,1,6,2.1,114824.17
1,17.3,1080,6,2.7,8,0,1,2,2.83,52302.74
2,14,1080,6,2.8,8,1,1,6,1.96,115066.04
1,15.6,1080,6,2.7,8,1,1,6,2.3,47586.43
1,15.6,1080,5,2.5,8,1,0,6,1.9,57139.99
1,15.6,768,2,1.1,4,0,0,6,2,27149.05
4,13.3,1080,6,2.8,8,1,0,6,1.28,154731.47
1,13.3,1080,5,2.3,8,0,0,6,1.62,39242.17
1,15.6,1080,4,2,4,0,0,8,2.2,28358.37
1,15.6,1080,5,2.5,8,0,0,6,2.3,51435.67
1,15.6,1080,5,2.6,8,1,1,6,1.84,81568.09
1,13.3,1080,5,2.5,4,1,0,6,1.05,77698.3
3,15.6,1080,5,2.5,8,0,1,8,2.5,61493.52
2,13.3,1800,6,2.5,16,1,0,6,1.29,135442.94
1,15.6,1080,5,2.3,4,0,0,6,2.07,55023.7
2,13.3,768,5,2.3,8,1,0,6,1.2,66209.83
4,13.3,1080,6,2.7,8,1,0,6,1.37,117907.92
1,14,1080,5,2.5,8,1,0,6,1.56,54539.97
6,15.6,1080,6,2.8,8,0,1,6,2.23,107507.84
1,15.6,768,5,2.5,4,0,0,6,2.38,63791.21
1,15.6,1080,4,2,4,0,1,8,2.2,28963.02
1,15.6,1080,6,2.7,8,1,0,6,2,83926.25
1,13.3,1080,4,2.4,4,1,0,6,1.44,44442.22
2,15,1080,6,2.7,16,1,1,6,1.23,111800.89
2,12.5,1080,6,2.8,8,1,0,6,1.6,102186.86
1,15.6,768,2,1.1,4,0,0,2,2,24125.17
2,13.3,1080,5,2.3,8,1,1,6,1.28,56535.34
1,15.6,1080,5,2.5,4,3,1,6,2.18,55174.86
1,15.6,1080,5,2.5,4,1,0,6,2.04,50730.64
4,13.3,1080,5,2.5,4,1,0,6,1.28,102791.52
4,15.6,768,5,2.5,4,0,0,6,2.3,41406.84
1,14.1,768,1,1.1,4,5,0,6,1.65,21042.03
1,15.6,1080,6,2.5,8,0,1,6,2.2,40451.49
1,15.6,768,2,1.6,4,0,0,6,2.2,22311.81
